index,coorx,coory
1,0,1
2,8,1
3,16,1
4,24,1
5,32,1
6,40,1
7,48,1
8,56,1
9,64,1
10,72,1
11,80,1
12,88,1
13,96,1
14,104,1
15,112,1
16,120,1
17,128,1
18,136,1
19,144,1
20,152,1
21,160,1
22,168,1
23,176,1
24,184,1
25,192,1
26,200,1
27,208,1
28,216,1
29,224,1
30,232,1
31,240,1
32,248,1
33,256,1
34,264,1
35,272,1
36,280,1
37,288,1
38,296,1
39,304,1
40,312,1
41,320,1
42,0,11
43,8,11
44,16,11
45,24,11
46,32,11
47,40,11
48,48,11
49,56,11
50,64,11
51,72,11
52,80,11
53,88,11
54,96,11
55,104,11
56,112,11
57,120,11
58,128,11
59,136,11
60,144,11
61,152,11
62,160,11
63,168,11
64,176,11
65,184,11
66,192,11
67,200,11
68,208,11
69,216,11
70,224,11
71,232,11
72,240,11
73,248,11
74,256,11
75,264,11
76,272,11
77,280,11
78,288,11
79,296,11
80,304,11
81,312,11
82,320,11
83,328,11
84,336,11
85,344,11
86,352,11
87,360,11
88,368,11
89,376,11
90,384,11
91,392,11
92,400,11
93,408,11
94,416,11
95,0,21
96,8,21
97,16,21
98,24,21
99,32,21
100,40,21
101,48,21
102,56,21
103,64,21
104,72,21
105,80,21
106,88,21
107,96,21
108,104,21
109,112,21
110,120,21
111,128,21
112,136,21
113,144,21
114,152,21
115,160,21
116,168,21
117,176,21
118,184,21
119,192,21
120,200,21
121,208,21
122,216,21
123,224,21
124,232,21
125,240,21
126,248,21
127,256,21
128,264,21
129,272,21
130,280,21
131,288,21
132,296,21
133,304,21
134,312,21
135,320,21
136,328,21
137,336,21
138,344,21
139,352,21
140,360,21
141,368,21
142,376,21
143,384,21
144,392,21
145,400,21
146,408,21
147,416,21
148,0,31
149,8,31
150,16,31
151,24,31
152,32,31
153,40,31
154,48,31
155,56,31
156,64,31
157,72,31
158,80,31
159,88,31
160,96,31
161,104,31
162,112,31
163,120,31
164,128,31
165,136,31
166,144,31
167,152,31
168,160,31
169,168,31
170,176,31
171,184,31
172,192,31
173,200,31
174,208,31
175,216,31
176,224,31
177,232,31
178,240,31
179,248,31
180,256,31
181,264,31
182,272,31
183,280,31
184,288,31
185,296,31
186,304,31
187,312,31
188,320,31
189,328,31
190,336,31
191,344,31
192,352,31
193,360,31
194,368,31
195,376,31
196,384,31
197,392,31
198,400,31
199,408,31
200,416,31
201,0,41
202,8,41
203,16,41
204,24,41
205,32,41
206,40,41
207,48,41
208,56,41
209,64,41
210,72,41
211,80,41
212,88,41
213,96,41
214,104,41
215,112,41
216,120,41
217,128,41
218,136,41
219,144,41
220,152,41
221,160,41
222,168,41
223,176,41
224,184,41
225,192,41
226,200,41
227,208,41
228,216,41
229,224,41
230,232,41
231,240,41
232,248,41
233,256,41
234,264,41
235,272,41
236,280,41
237,288,41
238,296,41
239,304,41
240,312,41
241,320,41
242,328,41
243,336,41
244,344,41
245,352,41
246,360,41
247,368,41
248,376,41
249,384,41
250,392,41
251,400,41
252,408,41
253,416,41
254,0,51
255,8,51
256,16,51
257,24,51
258,32,51
259,40,51
260,48,51
261,56,51
262,64,51
263,72,51
264,80,51
265,88,51
266,96,51
267,104,51
268,112,51
269,120,51
270,128,51
271,136,51
272,144,51
273,152,51
274,160,51
275,168,51
276,176,51
277,184,51
278,192,51
279,200,51
280,208,51
281,216,51
282,224,51
283,232,51
284,240,51
285,248,51
286,256,51
287,264,51
288,272,51
289,280,51
290,288,51
291,296,51
292,304,51
293,312,51
294,320,51
295,328,51
296,336,51
297,344,51
298,352,51
299,360,51
300,368,51
301,376,51
302,384,51
303,392,51
304,400,51
305,408,51
306,416,51
307,0,61
308,8,61
309,16,61
310,24,61
311,32,61
312,40,61
313,48,61
314,56,61
315,64,61
316,72,61
317,80,61
318,88,61
319,96,61
320,104,61
321,112,61
322,120,61
323,128,61
324,136,61
325,144,61
326,152,61
327,160,61
328,168,61
329,176,61
330,184,61
331,192,61
332,200,61
333,208,61
334,216,61
335,224,61
336,232,61
337,240,61
338,248,61
339,256,61
340,264,61
341,272,61
342,280,61
343,288,61
344,296,61
345,304,61
346,312,61
347,320,61
348,328,61
349,336,61
350,344,61
351,352,61
352,360,61
353,368,61
354,376,61
355,384,61
356,392,61
357,400,61
358,408,61
359,416,61
360,0,71
361,8,71
362,16,71
363,24,71
364,32,71
365,40,71
366,48,71
367,56,71
368,64,71
369,72,71
370,80,71
371,88,71
372,96,71
373,104,71
374,112,71
375,120,71
376,128,71
377,136,71
378,144,71
379,152,71
380,160,71
381,168,71
382,176,71
383,184,71
384,192,71
385,200,71
386,208,71
387,216,71
388,224,71
389,232,71
390,240,71
391,248,71
392,256,71
393,264,71
394,272,71
395,280,71
396,288,71
397,296,71
398,304,71
399,312,71
400,320,71
401,328,71
402,336,71
403,344,71
404,352,71
405,360,71
406,368,71
407,376,71
408,384,71
409,392,71
410,400,71
411,408,71
412,416,71
413,0,81
414,8,81
415,16,81
416,24,81
417,32,81
418,40,81
419,48,81
420,56,81
421,64,81
422,72,81
423,80,81
424,88,81
425,96,81
426,104,81
427,112,81
428,120,81
429,128,81
430,136,81
431,144,81
432,152,81
433,160,81
434,168,81
435,176,81
436,184,81
437,192,81
438,200,81
439,208,81
440,216,81
441,224,81
442,232,81
443,240,81
444,248,81
445,256,81
446,264,81
447,272,81
448,280,81
449,288,81
450,296,81
451,304,81
452,312,81
453,320,81
454,328,81
455,336,81
456,344,81
457,352,81
458,360,81
459,368,81
460,376,81
461,384,81
462,392,81
463,400,81
464,408,81
465,416,81
466,0,91
467,8,91
468,16,91
469,24,91
470,32,91
471,40,91
472,48,91
473,56,91
474,64,91
475,72,91
476,80,91
477,88,91
478,96,91
479,104,91
480,112,91
481,120,91
482,128,91
483,136,91
484,144,91
485,152,91
486,160,91
487,168,91
488,176,91
489,184,91
490,192,91
491,200,91
492,208,91
493,216,91
494,224,91
495,232,91
496,240,91
497,248,91
498,256,91
499,264,91
500,272,91
501,280,91
502,288,91
503,296,91
504,304,91
505,312,91
506,320,91
507,328,91
508,336,91
509,344,91
510,352,91
511,360,91
512,368,91
513,376,91
514,384,91
515,392,91
516,400,91
517,408,91
518,416,91
519,0,101
520,8,101
521,16,101
522,24,101
523,32,101
524,40,101
525,48,101
526,56,101
527,64,101
528,72,101
529,80,101
530,88,101
531,96,101
532,104,101
533,112,101
534,120,101
535,128,101
536,136,101
537,144,101
538,152,101
539,160,101
540,168,101
541,176,101
542,184,101
543,192,101
544,200,101
545,208,101
546,216,101
547,224,101
548,232,101
549,240,101
550,248,101
551,256,101
552,264,101
553,272,101
554,280,101
555,288,101
556,296,101
557,304,101
558,312,101
559,320,101
560,328,101
561,336,101
562,344,101
563,352,101
564,360,101
565,368,101
566,376,101
567,384,101
568,392,101
569,400,101
570,408,101
571,416,101
572,0,111
573,8,111
574,16,111
575,24,111
576,32,111
577,40,111
578,48,111
579,56,111
580,64,111
581,72,111
582,80,111
583,88,111
584,96,111
585,104,111
586,112,111
587,120,111
588,128,111
589,136,111
590,144,111
591,152,111
592,160,111
593,168,111
594,176,111
595,184,111
596,192,111
597,200,111
598,208,111
599,216,111
600,224,111
601,232,111
602,240,111
603,248,111
604,256,111
605,264,111
606,272,111
607,280,111
608,288,111
609,296,111
610,304,111
611,312,111
612,320,111
613,328,111
614,336,111
615,344,111
616,352,111
617,360,111
618,368,111
619,376,111
620,384,111
621,392,111
622,400,111
623,408,111
624,416,111
625,0,121
626,8,121
627,16,121
628,24,121
629,32,121
630,40,121
631,48,121
632,56,121
633,64,121
634,72,121
635,80,121
636,88,121
637,96,121
638,104,121
639,112,121
640,120,121
641,128,121
642,136,121
643,144,121
644,152,121
645,160,121
646,168,121
647,176,121
648,184,121
649,192,121
650,200,121
651,208,121
652,216,121
653,224,121
654,232,121
655,240,121
656,248,121
657,256,121
658,264,121
659,272,121
660,280,121
661,288,121
662,296,121
663,304,121
664,312,121
665,320,121
666,328,121
667,336,121
668,344,121
669,352,121
670,360,121
671,368,121
672,376,121
673,384,121
674,392,121
675,400,121
676,408,121
677,416,121
678,0,131
679,8,131
680,16,131
681,24,131
682,32,131
683,40,131
684,48,131
685,56,131
686,64,131
687,72,131
688,80,131
689,88,131
690,96,131
691,104,131
692,112,131
693,120,131
694,128,131
695,136,131
696,144,131
697,152,131
698,160,131
699,168,131
700,176,131
701,184,131
702,192,131
703,200,131
704,208,131
705,216,131
706,224,131
707,232,131
708,240,131
709,248,131
710,256,131
711,264,131
712,272,131
713,280,131
714,288,131
715,296,131
716,304,131
717,312,131
718,320,131
719,328,131
720,336,131
721,344,131
722,352,131
723,360,131
724,368,131
725,376,131
726,384,131
727,392,131
728,400,131
729,408,131
730,416,131
731,0,141
732,8,141
733,16,141
734,24,141
735,32,141
736,40,141
737,48,141
738,56,141
739,64,141
740,72,141
741,80,141
742,88,141
743,96,141
744,104,141
745,112,141
746,120,141
747,128,141
748,136,141
749,144,141
750,152,141
751,160,141
752,168,141
753,176,141
754,184,141
755,192,141
756,200,141
757,208,141
758,216,141
759,224,141
760,232,141
761,240,141
762,248,141
763,256,141
764,264,141
765,272,141
766,280,141
767,288,141
768,296,141
769,304,141
770,312,141
771,320,141
772,328,141
773,336,141
774,344,141
775,352,141
776,360,141
777,368,141
778,376,141
779,384,141
780,392,141
781,400,141
782,408,141
783,416,141
784,0,151
785,8,151
786,16,151
787,24,151
788,32,151
789,40,151
790,48,151
791,56,151
792,64,151
793,72,151
794,80,151
795,88,151
796,96,151
797,104,151
798,112,151
799,120,151
800,128,151
801,136,151
802,144,151
803,152,151
804,160,151
805,168,151
806,176,151
807,184,151
808,192,151
809,200,151
810,208,151
811,216,151
812,224,151
813,232,151
814,240,151
815,248,151
816,256,151
817,264,151
818,272,151
819,280,151
820,288,151
821,296,151
822,304,151
823,312,151
824,320,151
825,328,151
826,336,151
827,344,151
828,352,151
829,360,151
830,368,151
831,376,151
832,384,151
833,392,151
834,400,151
835,408,151
836,416,151
837,0,161
838,8,161
839,16,161
840,24,161
841,32,161
842,40,161
843,48,161
844,56,161
845,64,161
846,72,161
847,80,161
848,88,161
849,96,161
850,104,161
851,112,161
852,120,161
853,128,161
854,136,161
855,144,161
856,152,161
857,160,161
858,168,161
859,176,161
860,184,161
861,192,161
862,200,161
863,208,161
864,216,161
865,224,161
866,232,161
867,240,161
868,248,161
869,256,161
870,264,161
871,272,161
872,280,161
873,288,161
874,296,161
875,304,161
876,312,161
877,320,161
878,328,161
879,336,161
880,344,161
881,352,161
882,360,161
883,368,161
884,376,161
885,384,161
886,392,161
887,400,161
888,408,161
889,416,161
890,0,171
891,8,171
892,16,171
893,24,171
894,32,171
895,40,171
896,48,171
897,56,171
898,64,171
899,72,171
900,80,171
901,88,171
902,96,171
903,104,171
904,112,171
905,120,171
906,128,171
907,136,171
908,144,171
909,152,171
910,160,171
911,168,171
912,176,171
913,184,171
914,192,171
915,200,171
916,208,171
917,216,171
918,224,171
919,232,171
920,240,171
921,248,171
922,256,171
923,264,171
924,272,171
925,280,171
926,288,171
927,296,171
928,304,171
929,312,171
930,320,171
931,328,171
932,336,171
933,344,171
934,352,171
935,360,171
936,368,171
937,376,171
938,384,171
939,392,171
940,400,171
941,408,171
942,416,171
943,0,181
944,8,181
945,16,181
946,24,181
947,32,181
948,40,181
949,48,181
950,56,181
951,64,181
952,72,181
953,80,181
954,88,181
955,96,181
956,104,181
957,112,181
958,120,181
959,128,181
960,136,181
961,144,181
962,152,181
963,160,181
964,168,181
965,176,181
966,184,181
967,192,181
968,200,181
969,208,181
970,216,181
971,224,181
972,232,181
973,240,181
974,248,181
975,256,181
976,264,181
977,272,181
978,280,181
979,288,181
980,296,181
981,304,181
982,312,181
983,320,181
984,328,181
985,336,181
986,344,181
987,352,181
988,360,181
989,368,181
990,376,181
991,384,181
992,392,181
993,400,181
994,408,181
995,416,181
996,0,191
997,8,191
998,16,191
999,24,191
1000,32,191
1001,40,191
1002,48,191
1003,56,191
1004,64,191
1005,72,191
1006,80,191
1007,88,191
1008,96,191
1009,104,191
1010,112,191
1011,120,191
1012,128,191
1013,136,191
1014,144,191
1015,152,191
1016,160,191
1017,168,191
1018,176,191
1019,184,191
1020,192,191
1021,200,191
1022,208,191
1023,216,191
1024,224,191
1025,232,191
1026,240,191
1027,248,191
1028,256,191
1029,264,191
1030,272,191
1031,280,191
1032,288,191
1033,296,191
1034,304,191
1035,312,191
1036,320,191
1037,328,191
1038,336,191
1039,344,191
1040,352,191
1041,360,191
1042,368,191
1043,376,191
1044,384,191
1045,392,191
1046,400,191
1047,408,191
1048,416,191
1049,0,201
1050,8,201
1051,16,201
1052,24,201
1053,32,201
1054,40,201
1055,48,201
1056,56,201
1057,64,201
1058,72,201
1059,80,201
1060,88,201
1061,96,201
1062,104,201
1063,112,201
1064,120,201
1065,128,201
1066,136,201
1067,144,201
1068,152,201
1069,160,201
1070,168,201
1071,176,201
1072,184,201
1073,192,201
1074,200,201
1075,208,201
1076,216,201
1077,224,201
1078,232,201
1079,240,201
1080,248,201
1081,256,201
1082,264,201
1083,272,201
1084,280,201
1085,288,201
1086,296,201
1087,304,201
1088,312,201
1089,320,201
1090,328,201
1091,336,201
1092,344,201
1093,352,201
1094,360,201
1095,368,201
1096,376,201
1097,384,201
1098,392,201
1099,400,201
1100,408,201
1101,416,201
1102,0,211
1103,8,211
1104,16,211
1105,24,211
1106,32,211
1107,40,211
1108,48,211
1109,56,211
1110,64,211
1111,72,211
1112,80,211
1113,88,211
1114,96,211
1115,104,211
1116,112,211
1117,120,211
1118,128,211
1119,136,211
1120,144,211
1121,152,211
1122,160,211
1123,168,211
1124,176,211
1125,184,211
1126,192,211
1127,200,211
1128,208,211
1129,216,211
1130,224,211
1131,232,211
1132,240,211
1133,248,211
1134,256,211
1135,264,211
1136,272,211
1137,280,211
1138,288,211
1139,296,211
1140,304,211
1141,312,211
1142,320,211
1143,328,211
1144,336,211
1145,344,211
1146,352,211
1147,360,211
1148,368,211
1149,376,211
1150,384,211
1151,392,211
1152,400,211
1153,408,211
1154,416,211