Year,MakeModel,Reason
1952,Not Listed,Abandoned
1961,Chevrolet,Abandoned
1970,Suzuki,Accident
1972,Chevrolet,Abandoned
1973,Not Listed,Illegally Parked
1973,GMC,Abandoned
1973,Trailer,Abandoned
1974,Chevrolet Corvette,Illegally Parked
1975,International Vehicle,Abandoned
1975,Chevrolet Utility,Arrest
1976,Kawasaki,Accident
1976,Pontiac Bonneville,Illegally Parked
1977,GMC Sierra,Stolen
1978,Not Listed,Illegally Parked
1978,Ford LTD,Abandoned
1978,Lincoln Continental,Abandoned
1978,Chevrolet,Arrest
1978,Yamaha,Accident
1978,Not Listed,Illegally Parked
1979,Chevrolet 10,Accident
1979,Not Listed,Abandoned
1979,Chevrolet Camaro,Arrest